ID,RA,DEC,CONFIDENCE,FLG_SPEC,CLASS
radec_152.1286059_25.121363,152.1286059,25.121363,0.936501,0,3
radec_314.1416938_-9.301338,314.1416938,-9.301338,0.936475,0,3
radec_16.30825352_20.122006,16.30825352,20.122006,0.936456,0,3
radec_312.3687678_-59.132501,312.3687678,-59.132501,0.936302,0,3
radec_334.5754277_19.220191,334.5754277,19.220191,0.936219,0,3
radec_164.9285561_21.01212,164.9285561,21.01212,0.936185,0,3
radec_177.1235444_41.418275,177.1235444,41.418275,0.936163,0,3
radec_151.5846746_18.291345,151.5846746,18.291345,0.936132,0,3
radec_114.6233677_15.488233,114.6233677,15.488233,0.936068,0,3
radec_245.1159953_19.511355,245.1159953,19.511355,0.936021,0,3
radec_66.23080114_-4.226497,66.23080114,-4.226497,0.936021,1,2
radec_340.9056098_2.018123,340.9056098,2.018123,0.935983,1,2
radec_24.94897807_-46.681321,24.94897807,-46.681321,0.935977,0,3
radec_265.2782223_45.518946,265.2782223,45.518946,0.93595,0,3
radec_340.8403911_16.520911,340.8403911,16.520911,0.935935,0,3
radec_8.75923249_-10.859623,8.75923249,-10.859623,0.935868,0,3
radec_35.99309513_20.618568,35.99309513,20.618568,0.935746,0,3
radec_137.5432311_28.924258,137.5432311,28.924258,0.935682,0,3
radec_44.90908444_-41.143333,44.90908444,-41.143333,0.93568,0,3
radec_340.4112719_16.811906,340.4112719,16.811906,0.935664,0,3
radec_130.7435037_24.630114,130.7435037,24.630114,0.935632,0,3
radec_320.7527384_8.174397,320.7527384,8.174397,0.935602,0,3
radec_195.1628413_31.530007,195.1628413,31.530007,0.935522,0,3
radec_357.2046066_-47.516954,357.2046066,-47.516954,0.935441,0,3
radec_72.9976744_-41.209186,72.9976744,-41.209186,0.935441,0,3
radec_354.1391105_-40.625057,354.1391105,-40.625057,0.935276,0,3
radec_263.1148483_23.710906,263.1148483,23.710906,0.935228,0,3
radec_192.45666_35.490279,192.45666,35.490279,0.935172,0,3
radec_325.6249196_-43.015566,325.6249196,-43.015566,0.93515,0,3
radec_0.94452006_-48.660306,0.94452006,-48.660306,0.9351,0,3
radec_179.5362806_46.709864,179.5362806,46.709864,0.93508,0,3
radec_1.38365905_6.922889,1.38365905,6.922889,0.935001,0,3
radec_124.9169643_49.491023,124.9169643,49.491023,0.934966,0,3
radec_160.6531963_-8.635955,160.6531963,-8.635955,0.934947,1,2
radec_346.9858986_-43.709506,346.9858986,-43.709506,0.934926,0,3
radec_218.875659_31.897046,218.875659,31.897046,0.934912,0,3
radec_109.4831997_41.634924,109.4831997,41.634924,0.934842,0,3
radec_170.3440935_40.990043,170.3440935,40.990043,0.934829,0,3
radec_150.8345661_26.736121,150.8345661,26.736121,0.934781,0,3
radec_268.475674_25.142459,268.475674,25.142459,0.934736,1,2
radec_335.0576629_22.160966,335.0576629,22.160966,0.93473,0,3
radec_27.62254393_32.132772,27.62254393,32.132772,0.934689,0,3
radec_60.31721926_-20.259708,60.31721926,-20.259708,0.934567,0,3
radec_316.4134997_-60.191722,316.4134997,-60.191722,0.934543,0,3
radec_29.73013881_29.093642,29.73013881,29.093642,0.934514,0,3
radec_187.8333085_11.108191,187.8333085,11.108191,0.93447,0,3
radec_173.2997254_27.828934,173.2997254,27.828934,0.934443,0,3
radec_341.6597422_-42.667258,341.6597422,-42.667258,0.934434,0,3
radec_138.2646506_28.003471,138.2646506,28.003471,0.934423,0,3
radec_358.0781082_-51.105306,358.0781082,-51.105306,0.93442,0,3
radec_269.2511849_25.652621,269.2511849,25.652621,0.934358,0,3
radec_247.4709155_37.063653,247.4709155,37.063653,0.934311,0,3
radec_8.99797046_-43.920768,8.99797046,-43.920768,0.934289,0,3
radec_179.8482797_45.675038,179.8482797,45.675038,0.934243,0,3
radec_209.2005379_38.654861,209.2005379,38.654861,0.93423,0,3
radec_240.0305551_20.630129,240.0305551,20.630129,0.934189,0,3
radec_224.6343129_57.790689,224.6343129,57.790689,0.934136,0,3
radec_276.8781582_40.817695,276.8781582,40.817695,0.934019,0,3
radec_227.7631642_-1.446419,227.7631642,-1.446419,0.934012,1,2
radec_33.39162151_-5.393131,33.39162151,-5.393131,0.933911,0,3
radec_15.9225951_-48.364652,15.9225951,-48.364652,0.933906,0,3
radec_220.1220044_-0.736525,220.1220044,-0.736525,0.933896,1,2
radec_340.4607258_-2.466292,340.4607258,-2.466292,0.933822,0,3
radec_328.6947293_-45.63801,328.6947293,-45.63801,0.933676,0,3
radec_199.649511_2.861481,199.649511,2.861481,0.933674,1,2
radec_129.2132821_30.530693,129.2132821,30.530693,0.933622,0,3
